frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
30,1.0,[-1.6601108754976224 21.766799517208653 477.2798946761369 549.9172705637991],[132.68365478515625 449.91412353515625 329.2238464355469 507.70843505859375],0.7234640121459961,60NB401,None
36,1.0,[-1.3871184265289855 18.925308513025072 477.0015988931584 551.7914261888086],[135.68490600585938 449.23577880859375 330.47015380859375 505.0099792480469],0.7221966981887817,60NB401,None
96,1.0,[-0.5697938828024292 71.25295819254421 477.75349470256106 597.5686729990209],[143.02317810058594 489.26678466796875 337.2747802734375 546.4071044921875],0.7597522139549255,60NB401,None
138,71.0,[-2.32657236560388 90.54621749797971 433.2463627297826 574.3197959510928],[106.92290496826172 473.462646484375 295.1540832519531 527.5344848632812],0.7209848761558533,60NB401,None
174,71.0,[8.530249498168445 92.62719456443503 443.2743434258564 555.0414601406679],[147.21742248535156 458.5189208984375 318.74322509765625 510.5688171386719],0.7764328122138977,60NB401,None
198,71.0,[21.991187065061723 96.20000704605025 456.2217204911558 549.1170775871436],[156.9375 451.241455078125 326.04949951171875 501.8332214355469],0.7470164895057678,60NB401,None
240,71.0,[4.010406877473287 95.46655784557635 425.2142910491509 537.7259663201423],[131.48484802246094 445.216064453125 297.7559509277344 492.9398193359375],0.7301995158195496,60NB401,None
264,71.0,[-0.68922383453301 99.85716959487635 406.2585344837328 537.9627527757793],[120.36410522460938 444.3282470703125 284.8940734863281 491.1908264160156],0.7217980027198792,60NB401,None
270,71.0,[-0.03302382210489441 100.27765437549252 404.3160560359018 538.7616743403856],[118.53413391113281 443.90606689453125 281.8114318847656 490.2695617675781],0.7304331660270691,60NB401,None
282,71.0,[2.3689366367038076 99.77219470183456 406.21360149901454 537.2621509581522],[124.64006042480469 444.4091796875 285.8406066894531 489.105712890625],0.7308419346809387,60NB401,None
294,71.0,[6.307414396304949 98.50021668310791 416.3754766906155 536.9781047920594],[135.11659240722656 443.57977294921875 298.9429016113281 491.2684326171875],0.7368786931037903,60NB401,None
336,71.0,[25.124427075103142 99.718751767736 447.77840154272786 537.8432263166499],[160.77484130859375 443.4505920410156 326.7371826171875 493.30950927734375],0.7336568832397461,60NB401,None
372,71.0,[26.311527452826994 99.37409725569597 449.5783001712016 537.8788879694732],[159.94427490234375 443.6368713378906 325.7252197265625 493.6510009765625],0.7378523349761963,60NB401,None
432,71.0,[24.282260216717702 100.57897617960197 449.0891984168754 539.6133956295253],[159.71498107910156 445.0775146484375 322.5138244628906 494.11236572265625],0.7438794374465942,60NB401,None
510,71.0,[24.090703745990766 101.2030806971338 448.025712776957 540.7239368662907],[158.37298583984375 444.57562255859375 320.74871826171875 495.0043029785156],0.7543928623199463,60NB401,None
540,71.0,[24.88642996134368 100.66259450602118 449.86512550623763 541.3504894698921],[157.76730346679688 445.8882141113281 322.44921875 495.390869140625],0.7454153895378113,60NB401,None
594,71.0,[22.62240548857943 100.87289328117544 449.7666615118466 541.4072626243501],[160.0072784423828 445.1964111328125 322.1934509277344 494.5080261230469],0.7462934255599976,60NB401,None
