frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
1,1.0,[-0.007911037594453774 248.08201744259193 312.66157479168857 625.1402655157341],[89.98770141601562 528.0802612304688 199.65805053710938 572.3871459960938],0.7622682452201843,34BAK801,None
2,1.0,[0.2685884709919719 246.53261661013994 313.13522458866834 623.2267258027914],[91.37688446044922 526.1546020507812 199.16053771972656 570.7855224609375],0.7685284614562988,34BAK801,None
3,1.0,[0.7169004680942521 245.43164161596542 313.5742869644405 621.2853699153717],[92.32349395751953 525.6627807617188 199.15965270996094 570.1332397460938],0.7729495167732239,24BAK801,None
7,1.0,[0.9100991910193557 242.2023287489665 316.1077809723559 616.624310945431],[93.33198547363281 523.9728393554688 200.01548767089844 567.501220703125],0.7813117504119873,34BAK801,None
9,1.0,[1.2506228412207463 242.35743622646228 317.1467630858831 614.866186643096],[95.93257141113281 523.52490234375 201.54827880859375 565.4364013671875],0.7566277980804443,34BAK801,None
11,1.0,[1.9270609252355086 241.71259628774908 318.26790696266346 613.6207849199814],[96.34351348876953 521.5967407226562 203.62831115722656 565.566162109375],0.7747746706008911,34BAK801,None
12,1.0,[2.2822871311330744 241.49535908714498 318.52878533582737 612.564755138303],[97.14501953125 521.9130859375 203.81280517578125 564.3321533203125],0.7738298177719116,34BAK801,None
13,1.0,[2.4115889853413535 241.39329099072455 318.7259854976081 611.934524706583],[97.58307647705078 521.763427734375 203.74563598632812 564.6900024414062],0.7667701244354248,34BAK801,None
14,1.0,[2.4272240798758276 241.58797719306233 318.7645383620345 611.6375563465141],[98.27196502685547 521.7142944335938 204.2000274658203 564.4902954101562],0.7647679448127747,34BAK801,None
15,1.0,[2.4773494171886057 241.93835727184936 318.65177549024565 611.6453699895833],[98.60093688964844 521.7373046875 204.53587341308594 564.29150390625],0.7639867663383484,34BAK801,None
17,1.0,[2.600381620091696 241.85073699421204 319.0359726798464 612.1195650322912],[98.3790283203125 520.7952880859375 205.11264038085938 564.060546875],0.7601140737533569,34BAK801,None
19,10.0,[2.7352487249712 237.77280150219897 319.0019977640292 621.5181861468387],[98.05805969238281 519.71533203125 205.8380889892578 564.7442626953125],0.769075870513916,34BAK801,None
20,1.0,[2.675426713059238 241.60156880289452 319.249166865435 612.9078110124835],[98.12054443359375 519.46240234375 205.91213989257812 564.7108764648438],0.770309567451477,34BAK801,None
26,1.0,[3.1007340879314995 240.94917859864634 319.7810549750508 612.5521082051989],[98.57880401611328 519.4320068359375 206.21978759765625 563.5845336914062],0.7703744769096375,34BAK801,None
27,1.0,[3.253855769251942 240.82107685469074 319.96886189978443 612.7592888669383],[98.54790496826172 519.5722045898438 206.04837036132812 563.4649047851562],0.7700747847557068,34BAK801,None
32,1.0,[3.5751489059321386 239.9748901172109 320.11541480405924 612.0419747365842],[98.3469467163086 519.1061401367188 206.02838134765625 562.6950073242188],0.7585872411727905,34BAK801,None
36,1.0,[3.984107513899545 238.8793411301279 320.18075693418973 612.5694327743981],[98.36222839355469 518.3579711914062 205.733642578125 561.1156005859375],0.7631750702857971,34BAK801,None
38,1.0,[4.150267876477358 238.2365055750525 320.3966762021999 611.1283018012041],[98.36444091796875 516.5934448242188 205.86654663085938 559.9901733398438],0.7712739706039429,34BAK801,None
40,1.0,[3.8702439006194993 238.0955637489434 320.16212113413724 611.7999379784528],[98.67448425292969 516.2040405273438 205.20843505859375 559.115966796875],0.7723618149757385,34BAK801,None
41,1.0,[3.9404075433646994 237.8583288615513 319.9890822164313 611.9062891279607],[98.64683532714844 515.7864379882812 205.3206787109375 558.8999633789062],0.7695534229278564,34BAK801,None
42,1.0,[4.211738002506763 237.58275102966613 320.1586049127857 612.0416390361671],[98.36247253417969 515.16162109375 205.6016387939453 557.9732055664062],0.7740464210510254,34BAK801,None
43,1.0,[3.936371885285581 237.2198632330855 319.550503717571 612.0829990955147],[98.28839874267578 514.84130859375 205.77452087402344 558.2725830078125],0.7772964239120483,34BAK801,None
45,1.0,[3.6266118743407105 236.4602775062989 318.7204251074111 611.4667720342644],[98.0420913696289 514.5257568359375 206.0245819091797 558.0447387695312],0.7790021896362305,34BAK801,None
46,1.0,[3.71001593981444 236.28376123444153 318.7487734414967 611.2113265976104],[98.24617004394531 514.3272705078125 205.57606506347656 558.7338256835938],0.7765393853187561,34BAK801,None
47,1.0,[3.676412600568682 236.22732845876334 318.72522903418803 611.3600953247633],[98.06193542480469 513.9570922851562 206.40185546875 557.5118408203125],0.7810099720954895,34BAK801,None
48,1.0,[4.385980212334061 235.694422861574 319.4458770880162 610.7310544692178],[98.8725357055664 513.787353515625 206.19955444335938 558.3233642578125],0.7792837619781494,34BAKS01,None
49,1.0,[4.673590733805497 235.81267251146727 319.67242612690575 610.9414058288421],[99.25115966796875 513.955810546875 206.0343017578125 558.0997924804688],0.7782711982727051,34BAK801,None
50,1.0,[4.818737402421704 235.38605486241073 319.8862091358495 610.5062517345455],[99.3175277709961 513.963134765625 206.20619201660156 557.991943359375],0.7782855033874512,24BAK801,None
56,15.0,[4.947298074978818 233.5994655358318 319.323892590996 611.6201472022497],[99.96122741699219 514.030029296875 207.30398559570312 557.3702392578125],0.7729519009590149,34BAK601,None
57,15.0,[4.9701779311473615 233.65237994158588 319.3789971398755 611.6328630755305],[100.0549087524414 514.0392456054688 207.30516052246094 557.2063598632812],0.7722138166427612,34BAK801,None
63,1.0,[5.275693779222848 235.4279784923393 320.03189526059566 611.82030056772],[100.2322769165039 513.6815185546875 206.9591827392578 556.4955444335938],0.7739804983139038,34BAK801,None
64,1.0,[5.38299840503916 235.10916873769307 320.25521061892925 611.2352724277173],[100.01172637939453 513.4003295898438 206.7274627685547 556.6439819335938],0.7739621996879578,34BAK801,None
71,1.0,[4.570333154699313 235.82089141964158 319.9832754923068 613.648206003646],[98.44757080078125 512.8267822265625 205.20382690429688 556.9382934570312],0.7781869769096375,34BAK801,None
81,1.0,[4.094012492012979 233.76083843280367 319.4960291121097 604.9173962409983],[98.56047058105469 513.1348266601562 204.68812561035156 554.917724609375],0.7792685627937317,34BAK801,None
85,1.0,[4.365713177229736 233.9205403809796 319.1828677305074 603.5835938373297],[98.75772857666016 512.4293212890625 204.75587463378906 554.7432861328125],0.782522439956665,34BAK80,None
86,1.0,[4.485272709323311 234.0455101813537 319.11872559854066 603.6940056897226],[98.9400634765625 512.1790771484375 204.9382781982422 554.552490234375],0.784260630607605,34BAK801,None
87,1.0,[4.481774285606718 234.19109111055766 318.9946246286627 604.1237776103313],[98.80628967285156 512.1155395507812 204.95941162109375 554.5126342773438],0.7840877771377563,34BAK801,None
89,1.0,[4.513919022999147 234.1074860010861 318.8759941968947 604.4990018345932],[98.6749267578125 511.71405029296875 205.13430786132812 554.5746459960938],0.7843788862228394,34BAK801,None
92,1.0,[4.590883675473549 233.4734930474245 318.9400441615621 604.9027299751278],[98.32044219970703 511.16015625 205.3660430908203 554.4089965820312],0.7805996537208557,34BAK801,None
93,1.0,[4.5956344526042585 233.16591975449194 318.99239567814146 604.6960268486085],[98.21905517578125 511.0938720703125 205.4359893798828 554.4405517578125],0.7795302271842957,34BAK801,None
94,1.0,[4.59609349397104 232.86969484468182 319.05499820670457 604.6344313144075],[98.18573760986328 510.88818359375 205.72906494140625 554.64111328125],0.7813081741333008,34BAK801,None
95,1.0,[4.592470302051424 232.72952315789271 319.1249864334484 604.7699883520911],[98.28520202636719 510.62384033203125 205.88995361328125 554.5848388671875],0.7805016040802002,34BAK801,None
96,1.0,[4.605808840052646 232.65547750283687 319.00176505610676 605.2266822317326],[98.54881286621094 510.57763671875 205.71315002441406 554.4000244140625],0.7794464826583862,34BAK801,None
97,1.0,[4.60920657208095 232.45647880835904 318.9630863483514 605.4930724535225],[98.59268951416016 510.6360168457031 205.6408233642578 554.27734375],0.7798736095428467,34BAK801,None
