frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,2.0,[0.0 436.3067626953125 1010.2736206054688 1272.635498046875],[248.7156524658203 1033.192138671875 626.8921508789062 1160.18408203125],0.7556654810905457,06BHK527,None
1,2.0,[2.518646530954129 434.0957709096919 1010.4011941182746 1269.261903634517],[241.2464599609375 1031.4739990234375 627.3858642578125 1160.66552734375],0.7620830535888672,06BHK527,None
3,2.0,[2.698800858502352 434.0970196509847 1009.3719005805842 1268.661198976397],[242.8890380859375 1031.6260986328125 620.4124755859375 1159.3531494140625],0.7600111365318298,06BHK527,None
4,2.0,[2.697758192016977 433.1316544186108 1008.4321069355242 1266.7277586621892],[243.21571350097656 1029.84375 620.3197631835938 1156.5],0.7663410902023315,06BHK527,None
6,2.0,[3.328628296463421 432.66066814680954 1007.1556967108388 1265.548268673279],[239.2100830078125 1020.2525024414062 621.791259765625 1157.92431640625],0.7874784469604492,06BHK527,None
8,2.0,[3.9858230368758996 427.60036199718166 1008.3323958497723 1261.805415658253],[239.83135986328125 1020.74560546875 621.2949829101562 1159.0396728515625],0.7762694954872131,06BHK527,None
10,2.0,[2.149601844034862 423.65171107237967 1003.9837472362292 1258.4767111362894],[231.958740234375 1017.6388549804688 616.4827880859375 1147.34375],0.7723221778869629,06BHK527,None
11,2.0,[2.2506001270801335 422.49145423966394 1002.7973165938662 1256.6757556098885],[233.7242431640625 1016.6279907226562 618.5674438476562 1144.43115234375],0.7873557209968567,06BHK527,None
14,2.0,[2.4685255386649487 418.3343144593921 1001.3773421524882 1253.1731594944704],[238.32821655273438 1014.589599609375 619.2462158203125 1143.3826904296875],0.7777294516563416,06BHK527,None
15,2.0,[2.5690120327102477 417.08360285912346 1000.6707642003986 1251.8766828623666],[229.37449645996094 1010.4730834960938 615.1361083984375 1142.08984375],0.7673470973968506,06BHK527,None
16,2.0,[2.608418253690047 415.80196102083596 1000.2825587293771 1250.920158218822],[229.07427978515625 1009.6302490234375 611.536376953125 1143.958740234375],0.7749089598655701,06BHK527,None
17,2.0,[2.355058395057995 415.87281721518013 998.7100752295785 1251.6130875092135],[225.57464599609375 1007.8991088867188 607.9898681640625 1141.964111328125],0.7780675888061523,06BHK527,None
19,2.0,[2.034688774185611 413.83406437710454 994.8625419151923 1250.434729891629],[222.85189819335938 1009.423828125 603.643798828125 1146.245361328125],0.7760109305381775,06BHK527,None
21,2.0,[1.4442742922539082 412.5263422355323 991.17003564564 1250.861491269141],[220.81915283203125 1006.0008544921875 602.8711547851562 1142.47119140625],0.777153730392456,06BHK527,None
22,2.0,[1.381221820619146 411.87117273451645 989.5864881512757 1249.8976106629548],[218.241943359375 1005.6339111328125 603.2186889648438 1142.9329833984375],0.776648223400116,06BHK527,None
25,2.0,[1.1354367069209275 412.3034354280439 983.5377043265144 1249.3917780531333],[216.02130126953125 1004.9470825195312 601.1506958007812 1141.5875244140625],0.7758369445800781,06BHK527,None
28,2.0,[1.1902338750250578 411.1754605054698 977.9776642081827 1246.6423430452028],[213.05868530273438 1004.6246948242188 600.832763671875 1140.501953125],0.7730069756507874,06BHK527,None
