frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
8,1.0,[2.4229970594197994 551.4655750782276 969.7154022254052 1392.4203341869963],[295.8371887207031 1186.4327392578125 622.6705322265625 1286.791015625],0.7082937955856323,34BAK801,None
13,1.0,[10.229075421687071 544.2120602628456 980.9696756116773 1383.8412268386335],[300.7369079589844 1179.971435546875 635.4129638671875 1274.608154296875],0.7249162793159485,34BAKST,None
14,1.0,[10.743718435594303 544.9423830028198 982.800607246435 1384.1752997809126],[301.75140380859375 1180.9892578125 636.404541015625 1273.253173828125],0.7167032957077026,34BAK801,None
61,1.0,[15.691364194185837 533.1249141490557 993.8128907956691 1379.0040763401748],[309.75640869140625 1165.4114990234375 639.2786865234375 1256.234375],0.7090325355529785,34BAK801,None
66,1.0,[14.598195263338255 531.5503608528425 992.272762746823 1375.0751432370844],[307.39105224609375 1161.297607421875 638.2454833984375 1258.92138671875],0.7502430081367493,34BAK801,None
74,1.0,[12.98714999246198 528.8421270206424 988.5861468602186 1369.1725431869427],[305.6249694824219 1162.025146484375 634.0424194335938 1258.69091796875],0.745874285697937,34BAK801,None
88,1.0,[13.432609728306147 527.243785182267 990.3451083401409 1366.831233170992],[305.2993469238281 1157.154052734375 635.6702880859375 1254.3109130859375],0.7632699608802795,34BAK801,None
90,1.0,[13.519742686700681 525.611611544494 989.933557129405 1366.6683655090385],[304.6987609863281 1156.7425537109375 636.2366333007812 1253.3009033203125],0.7608360052108765,34BAK80T,None
95,1.0,[13.946356463617292 523.720423114159 989.1604540526403 1366.2006854513743],[305.7250061035156 1157.06494140625 636.336669921875 1251.496826171875],0.7577022314071655,34BAK801,None
97,1.0,[14.122430637003447 526.3189007320703 988.808608725132 1366.6646669131705],[306.15631103515625 1156.7554931640625 635.8493041992188 1251.2708740234375],0.756212055683136,634BAK8T,None
98,1.0,[14.809068794265613 528.0788495257598 989.3585998166343 1366.8180665760476],[306.2350158691406 1156.560302734375 636.1250610351562 1250.8751220703125],0.7553146481513977,34BAK801,None
