frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,1.0,[19.691436767578068 515.6574096679688 1021.421142578125 1361.9359130859375],[302.0755920410156 1109.479248046875 692.8463745117188 1228.4539794921875],0.7630098462104797,33AKATtg,None
1,1.0,[19.994350237346794 514.2830027030795 1021.6915055839344 1359.692944574494],[301.59832763671875 1109.7667236328125 692.8140258789062 1228.019775390625],0.7607058882713318,33AKATt8,None
2,1.0,[19.82652297803162 513.5853130515213 1020.9104299559549 1357.5580637699834],[299.9872741699219 1109.2271728515625 694.0827026367188 1228.36474609375],0.7591748237609863,33AKATt,None
3,1.0,[19.96995679892035 513.8254303902661 1021.3384568411243 1358.0935287236266],[299.2980651855469 1109.7581787109375 693.6456909179688 1227.5562744140625],0.7543916702270508,33AKATil,None
4,1.0,[19.8409668168415 514.1062217238843 1020.7949343909715 1357.801936206478],[298.6944580078125 1109.610107421875 693.6275634765625 1228.461669921875],0.7533422708511353,M33AKA,None
5,1.0,[19.900350838192935 514.5341105280052 1020.7813303878099 1358.1911225210797],[299.6023864746094 1110.275634765625 693.2915649414062 1227.370849609375],0.7479392290115356,33AKA118,None
6,1.0,[19.90103647344887 514.6432789346234 1020.8237656280676 1358.2618661849338],[300.3470458984375 1110.834228515625 693.1780395507812 1227.54345703125],0.7448601126670837,33AKATiS,None
7,1.0,[19.98850198378335 514.4398316245511 1020.7530874734618 1357.4961291253105],[299.4211120605469 1110.32568359375 693.1040649414062 1228.1507568359375],0.7424708008766174,33AKAT8,None
8,1.0,[19.944454673347707 514.0968837800458 1020.4391381010403 1356.417791537313],[300.1346130371094 1109.292236328125 691.6927490234375 1228.8568115234375],0.745820164680481,33AKA118,None
9,1.0,[19.563898304303223 513.9315199248138 1020.3535935574669 1356.4906220606479],[301.218994140625 1110.078125 692.7232055664062 1228.3009033203125],0.7453404664993286,33AKAT18,None
10,1.0,[19.408374614866943 513.4001756143061 1020.2659796882349 1355.6645236274094],[301.11712646484375 1108.7666015625 691.5573120117188 1229.6015625],0.7525709271430969,33AKAT18,None
11,1.0,[19.064457937343036 513.2091059851587 1019.2812227517421 1354.3265651023873],[299.539306640625 1108.1170654296875 690.0498046875 1229.722900390625],0.7478994727134705,33AKAVS,None
12,1.0,[18.67457505016199 512.7235129322291 1018.8746880439855 1353.6931500149283],[299.4130554199219 1107.525146484375 688.7433471679688 1229.51806640625],0.7498857975006104,33AKA11S,None
